player_id,overall,height_cm,weight_kg,nationality_name,preferred_foot,weak_foot,skill_moves,work_rate,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,last_valuation,name,position,sub_position,age
318520,71,178,65,France,Right,3,3,Medium/Medium,70.0,50.0,66.0,69.0,66.0,68.0,72,45,56,69,43,69,73,42,67,71,69,71,65,67,70,58,70,80,63,52,67,67,65,58,48,63,65,70,68,15,9,12,15,8,0.0,2500000,Clément Michelin,Defender,Right-Back,26
325924,68,184,81,Algeria,Left,3,2,Medium/Medium,80.0,53.0,63.0,65.0,66.0,78.0,64,48,64,65,54,64,56,47,67,68,76,84,63,62,64,56,81,76,82,59,68,64,56,61,55,60,67,68,66,7,7,14,9,12,0.0,1000000,Ahmed Touba,Defender,Centre-Back,25
358250,78,184,80,Ghana,Right,2,2,Medium/High,75.0,27.0,48.0,50.0,76.0,88.0,34,18,79,75,21,35,24,28,50,60,69,79,67,65,68,50,86,81,91,23,88,79,25,23,31,63,70,78,77,11,6,9,13,6,0.0,5000000,Joseph Aidoo,Defender,Centre-Back,27
362108,74,181,72,Sweden,Left,3,3,High/Low,86.0,64.0,67.0,73.0,67.0,70.0,77,59,51,69,56,75,58,50,66,72,85,87,74,68,67,75,69,75,65,69,78,66,66,62,46,63,69,72,68,12,10,7,6,8,0.0,5500000,Gabriel Gudmundsson,Defender,Left-Back,24
410897,68,192,86,Netherlands,Right,3,2,Medium/Medium,51.0,34.0,48.0,49.0,68.0,75.0,34,28,69,60,35,42,30,35,59,59,50,51,41,65,44,52,51,71,84,28,64,67,30,38,40,52,68,69,68,14,8,14,6,12,0.0,600000,Lars Kramer,Defender,Centre-Back,23
503866,67,185,73,Denmark,Right,3,3,High/Medium,77.0,63.0,67.0,71.0,58.0,66.0,64,66,55,68,55,68,64,62,65,71,78,76,80,68,76,64,61,73,63,60,67,56,66,72,55,73,55,62,61,8,12,13,6,9,0.0,1000000,Albert Grönbaek,Midfield,Central Midfield,21
586853,73,183,74,Portugal,Right,3,2,High/Medium,75.0,72.0,61.0,71.0,28.0,80.0,58,74,71,66,70,73,55,48,59,72,76,75,66,72,70,75,76,73,81,67,85,36,73,60,65,65,19,22,15,5,8,6,9,15,0.0,6000000,Vitinha,Attack,Centre-Forward,23
592473,59,176,74,Scotland,Right,3,2,Medium/Medium,65.0,48.0,60.0,61.0,52.0,56.0,59,42,47,63,48,59,59,42,61,61,66,64,67,55,69,62,49,66,56,48,45,53,51,59,44,55,52,54,51,15,12,13,5,7,0.0,100000,Dean Cornelius,Midfield,Central Midfield,22
798687,63,178,66,Brazil,Right,3,3,Medium/Medium,74.0,50.0,60.0,70.0,38.0,51.0,53,50,47,65,53,74,59,50,62,71,72,76,57,63,62,58,51,48,56,40,40,23,48,59,62,63,41,38,48,6,11,15,12,11,0.0,200000,Antony,Attack,Left Winger,21
4391,68,188,83,Netherlands,Right,3,1,Medium/Medium,0.0,0.0,0.0,0.0,0.0,0.0,15,11,14,38,15,14,14,14,31,32,48,45,52,65,42,51,60,27,72,20,30,22,12,37,25,51,19,17,14,65,69,68,70,66,46.0,150000,Boy Waterman,Goalkeeper,Goalkeeper,39
20506,77,169,67,Mexico,Left,2,3,Medium/Medium,61.0,68.0,79.0,79.0,71.0,68.0,74,64,55,83,69,78,78,80,79,80,65,58,79,75,87,73,71,80,59,73,73,73,69,79,70,76,72,74,75,7,10,10,11,10,0.0,1500000,Andrés Guardado,Midfield,Central Midfield,36
34870,73,180,74,Spain,Right,4,3,High/Low,48.0,76.0,69.0,72.0,44.0,66.0,64,76,76,75,79,72,70,66,58,77,50,46,62,72,58,76,74,43,71,73,82,41,81,72,79,76,38,41,40,13,13,14,9,6,0.0,1000000,Roberto Soldado,Attack,Centre-Forward,37
38607,76,171,75,Italy,Right,4,4,High/Low,78.0,70.0,73.0,80.0,39.0,60.0,77,67,40,76,72,82,78,69,67,81,76,80,79,71,78,73,44,72,62,70,42,34,74,68,69,74,44,38,36,11,10,6,10,5,0.0,3000000,Federico Di Francesco,Attack,Left Winger,28
91473,70,183,73,France,Right,3,2,Medium/High,32.0,34.0,40.0,52.0,72.0,76.0,23,27,69,56,23,40,33,34,50,61,29,35,57,67,62,57,89,80,73,30,73,75,30,23,37,68,73,71,70,14,8,8,8,6,0.0,700000,Florent Ogier,Defender,Centre-Back,34
114680,65,187,74,Armenia,Right,3,2,Medium/Medium,62.0,34.0,55.0,59.0,65.0,70.0,48,28,58,63,33,55,44,22,60,62,60,63,65,55,64,46,80,63,72,32,70,62,38,53,35,66,67,67,65,15,7,8,7,8,0.0,350000,André Calisir,Defender,Centre-Back,32
120095,78,179,70,Spain,Right,3,4,Medium/Medium,65.0,72.0,81.0,78.0,70.0,71.0,79,70,64,81,66,78,85,78,80,81,68,62,73,76,78,76,60,80,70,73,63,71,74,82,69,81,72,71,61,8,11,6,7,10,0.0,7500000,José Campaña,Midfield,Central Midfield,29
131506,75,174,68,Spain,Right,3,4,High/Medium,79.0,75.0,74.0,77.0,31.0,70.0,74,75,64,78,68,76,80,69,68,78,80,79,82,77,87,77,71,74,74,74,56,25,77,70,75,68,27,30,20,9,9,14,15,15,0.0,1600000,Samu Saiz,Attack,Left Winger,32
136180,77,175,68,Norway,Right,3,3,Medium/High,76.0,63.0,76.0,77.0,72.0,78.0,71,58,58,80,60,76,66,55,78,77,75,76,74,80,82,73,65,88,75,66,78,75,66,78,51,79,75,72,67,8,12,11,13,13,0.0,6000000,Fredrik Midtsjö,Midfield,Central Midfield,29
159471,85,176,77,Germany,Right,4,4,High/Medium,82.0,84.0,79.0,85.0,43.0,69.0,78,86,42,82,83,87,74,62,75,82,85,79,85,82,88,87,55,76,69,82,63,38,86,82,68,82,45,44,43,14,10,10,9,7,0.0,70000000,Serge Gnabry,Attack,Right Winger,27
175383,76,197,92,Brazil,Right,2,1,Medium/Medium,0.0,0.0,0.0,0.0,0.0,0.0,11,10,12,27,9,10,12,8,21,20,54,51,57,79,25,53,57,42,79,13,22,11,8,15,19,41,14,9,8,75,73,70,75,78,52.0,4000000,Helton Leite,Goalkeeper,Goalkeeper,32
197642,72,186,81,England,Right,3,3,Medium/Low,83.0,71.0,53.0,71.0,29.0,74.0,48,73,69,59,66,69,42,42,46,73,81,84,78,70,66,75,83,75,80,66,56,29,72,57,62,70,20,29,19,8,15,10,6,13,0.0,3200000,Chuba Akpom,Attack,Centre-Forward,27
238055,82,172,66,Portugal,Right,3,4,High/Medium,91.0,73.0,75.0,86.0,50.0,52.0,78,74,46,77,68,86,78,56,62,85,92,91,90,83,89,75,64,77,40,71,47,58,80,81,59,81,52,47,39,9,11,11,12,8,0.0,25000000,Rafa,Attack,Second Striker,30
242638,70,184,82,Greece,Right,3,3,High/Low,67.0,70.0,56.0,68.0,27.0,63.0,39,74,71,64,71,66,52,54,60,70,68,67,67,69,66,70,70,72,70,67,34,14,69,55,54,69,38,13,18,6,12,11,6,10,0.0,1000000,Efthymios Koulouris,Attack,Centre-Forward,27
289075,72,182,71,Ukraine,Left,4,4,High/Medium,83.0,71.0,63.0,72.0,20.0,55.0,68,73,55,62,52,78,71,70,54,74,78,87,55,70,64,78,67,52,65,69,30,24,67,64,55,54,13,16,12,11,9,10,9,5,0.0,1200000,Oleksandr Zubkov,Attack,Right Winger,26
495963,66,182,72,Netherlands,Right,5,3,Medium/Low,87.0,64.0,56.0,68.0,24.0,62.0,62,63,58,59,63,70,49,45,45,67,85,89,79,59,68,69,75,64,69,61,39,11,63,55,59,48,23,21,23,7,9,12,9,10,0.0,225000,Richie Musaba,Attack,Attacking Midfield,22
505463,71,193,78,Ukraine,Left,3,2,Medium/Medium,69.0,27.0,42.0,49.0,73.0,74.0,24,24,74,66,25,34,23,22,45,55,73,66,76,67,67,40,74,81,73,16,66,69,29,26,36,60,74,74,70,7,6,12,6,9,0.0,3000000,Oleksandr Syrota,Defender,Centre-Back,22
536521,59,178,70,France,Right,2,2,Medium/Medium,72.0,33.0,43.0,58.0,58.0,56.0,56,32,51,44,30,62,37,27,35,50,76,69,67,57,70,36,63,53,57,28,57,58,50,38,30,50,58,58,61,13,12,13,7,8,0.0,200000,Romaric Yapi,Defender,Right-Back,22
540333,71,173,72,Slovakia,Left,3,3,High/High,74.0,65.0,70.0,74.0,48.0,65.0,61,63,40,74,56,76,70,72,72,74,75,74,72,59,86,70,33,80,62,69,63,42,64,72,60,61,50,52,46,10,9,9,15,12,0.0,2500000,Tomas Suslov,Attack,Attacking Midfield,20
606849,70,195,91,Senegal,Right,2,2,Medium/Low,64.0,71.0,56.0,62.0,29.0,81.0,54,70,73,61,68,65,47,43,54,65,55,71,47,66,32,76,52,74,90,68,72,25,71,55,82,64,26,24,21,14,10,15,5,7,0.0,3400000,Makhtar Gueye,Attack,Centre-Forward,25
631221,64,184,75,Spain,Right,3,2,Medium/Medium,62.0,46.0,60.0,61.0,61.0,51.0,46,41,51,68,36,60,46,44,66,64,64,60,61,65,64,59,60,48,45,45,67,61,51,63,43,45,58,66,65,9,12,12,13,15,0.0,600000,Isma Ruiz,Midfield,Central Midfield,22
657957,61,173,69,Denmark,Right,3,2,Medium/Medium,73.0,55.0,53.0,63.0,34.0,53.0,50,60,37,57,36,62,50,35,48,62,75,72,78,55,65,57,37,60,56,50,41,28,58,56,45,53,32,39,33,11,9,10,5,14,0.0,150000,Jakob Breum,Attack,Left Winger,19
696656,64,180,74,Portugal,Right,3,3,Medium/Medium,65.0,48.0,64.0,66.0,56.0,64.0,53,44,56,70,41,66,62,47,69,69,64,66,63,58,65,57,66,67,64,45,59,49,61,66,48,57,54,62,55,7,12,6,8,12,0.0,200000,Rodrigo Andrade,Midfield,Defensive Midfield,21
42942,71,183,84,Greece,Left,3,2,Medium/Medium,66.0,52.0,59.0,59.0,71.0,76.0,57,40,70,66,50,52,67,62,66,67,65,66,59,64,68,66,72,70,77,66,80,69,39,40,55,65,73,70,70,12,14,6,14,9,0.0,1000000,Georgios Tzavellas,Defender,Centre-Back,35
50202,84,175,74,Belgium,Right,4,4,Medium/Medium,83.0,80.0,82.0,87.0,35.0,63.0,77,78,61,85,82,89,83,79,81,87,84,82,85,77,89,82,55,74,61,77,54,41,83,84,87,88,34,27,22,11,12,6,8,8,0.0,16000000,Eden Hazard,Attack,Left Winger,32
162101,67,186,73,Denmark,Right,3,1,Medium/Medium,0.0,0.0,0.0,0.0,0.0,0.0,18,11,14,42,17,14,18,20,38,36,47,48,43,59,62,52,66,36,64,17,18,23,14,63,24,42,17,16,18,67,65,69,66,69,48.0,300000,Andreas Hansen,Goalkeeper,Goalkeeper,27
255688,67,187,77,Greece,Right,4,2,Low/Medium,61.0,41.0,47.0,49.0,69.0,69.0,31,29,65,58,41,44,30,37,56,49,59,63,56,69,59,65,73,67,70,48,70,70,32,42,41,58,69,70,65,12,7,13,8,5,0.0,800000,Achilleas Poungouras,Defender,Centre-Back,27
257324,69,185,85,Denmark,Right,3,2,Medium/Medium,46.0,43.0,55.0,60.0,69.0,75.0,40,44,69,69,35,56,41,33,65,67,47,46,54,61,56,48,77,77,78,40,65,68,41,47,38,65,69,71,67,15,7,10,10,13,0.0,450000,Jeppe Tverskov,Defender,Centre-Back,30
313094,75,177,71,Switzerland,Right,4,2,Medium/Medium,79.0,48.0,66.0,73.0,71.0,66.0,72,44,59,74,46,73,61,39,60,75,79,79,73,73,73,58,75,76,63,46,61,72,59,59,50,61,72,73,73,12,15,9,9,13,0.0,6000000,Jordan Lotomba,Defender,Right-Back,24
357498,84,190,75,Serbia,Left,3,3,Medium/Medium,80.0,85.0,66.0,78.0,28.0,79.0,57,88,77,73,78,80,69,59,59,85,77,82,61,85,52,84,68,79,88,82,60,24,88,68,73,80,19,26,24,5,15,6,11,10,0.0,85000000,Dusan Vlahovic,Attack,Centre-Forward,23
426213,66,175,65,Portugal,Right,2,2,High/High,71.0,43.0,49.0,66.0,62.0,63.0,54,34,54,55,35,66,43,40,44,68,68,74,56,63,78,71,56,74,53,36,77,66,47,43,39,62,53,69,67,12,7,6,9,9,0.0,600000,Rodrigo Conceição,Defender,Right-Back,23
536480,64,178,65,France,Right,3,3,Medium/Medium,57.0,51.0,63.0,66.0,59.0,53.0,55,50,45,69,47,65,53,48,69,67,65,51,71,62,71,59,57,66,45,46,56,59,55,62,54,65,63,59,62,11,10,10,12,11,0.0,325000,Lucas Bernadou,Midfield,Defensive Midfield,22
568701,72,178,74,Senegal,Right,3,3,Medium/Low,77.0,73.0,68.0,71.0,25.0,61.0,70,73,65,73,67,70,65,73,64,73,76,78,71,62,74,75,68,70,65,73,38,19,73,62,67,69,19,23,18,6,10,11,13,8,0.0,3000000,Lamine Gueye,Attack,Right Winger,25
574385,69,180,71,Denmark,Right,3,4,Medium/Medium,87.0,59.0,60.0,73.0,25.0,70.0,59,61,44,64,54,75,58,49,53,71,86,87,83,60,77,62,76,74,72,51,57,21,65,63,51,62,25,25,17,9,7,9,13,11,0.0,7000000,Mohamed Daramy,Attack,Left Winger,21
583970,57,175,67,Turkey,Right,3,2,Medium/Low,63.0,52.0,52.0,64.0,33.0,41.0,54,47,42,53,49,70,48,46,52,64,61,65,50,40,79,66,46,44,40,45,40,24,50,52,66,49,30,37,40,9,11,6,12,11,0.0,100000,Mirza Cihan,Attack,Left Winger,22
700933,64,191,83,Brazil,Right,2,2,Medium/Low,62.0,63.0,53.0,65.0,32.0,67.0,50,66,65,58,62,66,39,36,47,67,61,63,63,63,45,69,61,62,71,51,64,28,61,61,62,63,29,28,23,7,11,10,6,15,0.0,300000,Derik Lacerda,Attack,Centre-Forward,23
804884,59,185,76,France,Right,3,3,Medium/Medium,66.0,59.0,41.0,62.0,19.0,38.0,28,62,54,46,56,63,53,42,39,65,65,67,62,54,48,62,37,31,41,54,37,11,59,44,43,55,16,18,16,10,6,10,10,9,0.0,250000,Ibrahima Baldé,Attack,Centre-Forward,20
25520,75,187,88,Netherlands,Right,4,1,Medium/Medium,0.0,0.0,0.0,0.0,0.0,0.0,15,12,16,37,18,17,18,14,52,34,46,38,42,67,36,62,65,35,70,16,30,13,15,59,28,57,14,18,20,73,76,82,75,76,42.0,250000,Remko Pasveer,Goalkeeper,Goalkeeper,39
39259,74,180,72,Japan,Right,3,3,Medium/Medium,52.0,51.0,72.0,70.0,76.0,60.0,65,45,64,77,56,63,62,63,78,77,49,55,64,79,70,55,62,53,62,52,61,80,60,68,61,84,82,74,66,10,12,10,15,9,0.0,800000,Makoto Hasebe,Defender,Centre-Back,39
60540,73,181,75,France,Right,4,3,Medium/Medium,65.0,73.0,70.0,72.0,39.0,65.0,69,73,75,74,73,70,69,69,64,75,63,66,76,74,69,74,84,72,61,71,61,44,77,71,75,69,45,24,18,14,7,11,9,14,0.0,3000000,Valère Germain,Attack,Centre-Forward,33
73185,78,180,73,Spain,Left,4,4,Medium/Low,78.0,80.0,76.0,77.0,30.0,66.0,74,79,68,78,79,78,82,77,69,78,77,78,71,80,68,81,65,64,67,80,67,38,81,79,82,76,25,20,24,14,8,8,10,10,0.0,2500000,Lucas Pérez,Attack,Centre-Forward,34
75442,72,174,66,Argentina,Left,2,4,Medium/Low,57.0,70.0,74.0,74.0,41.0,46.0,76,68,54,69,77,73,82,72,74,76,59,55,63,74,80,70,57,34,48,69,53,40,74,78,71,79,35,42,43,8,11,9,7,5,0.0,600000,Nico Gaitán,Attack,Attacking Midfield,35
94768,64,180,75,Germany,Right,3,2,Medium/Medium,82.0,26.0,42.0,54.0,63.0,69.0,25,23,58,54,27,47,21,29,43,54,81,83,73,62,66,37,90,71,67,19,64,61,23,44,32,56,64,65,64,11,9,15,6,9,0.0,500000,Rico Strieder,Midfield,Defensive Midfield,30
161496,60,181,76,Scotland,Right,3,2,High/High,70.0,57.0,47.0,57.0,40.0,80.0,43,57,64,57,54,54,49,42,56,57,69,70,66,57,72,70,76,80,78,49,87,30,54,27,40,50,43,38,35,11,9,14,11,16,0.0,400000,Chris Kane,Attack,Centre-Forward,28
174694,75,174,68,Portugal,Left,3,4,Medium/Low,77.0,72.0,74.0,78.0,30.0,59.0,76,71,38,74,56,77,76,73,69,78,82,73,83,67,88,77,55,68,62,75,39,29,72,73,65,72,30,28,27,11,10,12,12,11,0.0,5000000,Rony Lopes,Attack,Right Winger,27
181382,72,188,84,France,Right,3,2,Medium/Medium,39.0,56.0,59.0,58.0,74.0,80.0,48,41,52,64,42,60,49,54,70,70,40,39,30,54,34,76,32,76,88,78,75,77,32,58,61,53,76,77,74,8,15,9,9,7,0.0,3000000,Abdoulaye Touré,Midfield,Defensive Midfield,29
197929,76,192,84,Italy,Right,2,1,Medium/Medium,0.0,0.0,0.0,0.0,0.0,0.0,21,17,17,34,14,16,13,13,23,22,44,40,38,70,44,53,56,28,56,20,27,22,16,56,22,62,22,22,21,77,74,71,74,79,42.0,3000000,Ivan Provedel,Goalkeeper,Goalkeeper,29
203378,67,168,70,Belgium,Right,4,4,Medium/Low,68.0,66.0,62.0,74.0,19.0,52.0,63,64,28,68,66,75,76,67,53,73,70,66,76,57,87,72,73,34,59,68,50,16,65,53,57,63,18,17,20,11,6,16,12,16,0.0,350000,Zakaria Bakkali,Attack,Left Winger,27
